title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://task-organiser09.streamlit.app/;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/pdf%20app;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/xl-pdf%20coverter;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/newsapi;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/weather%20api;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/hotelbook;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/chatbot;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/chatbot;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/wweb%20camp;11.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/forecast%20app;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQLlite  database backend.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/studentmng;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/mysqlstd;18.png
JOb Application;A flask job application  user fill the form and it store it in data base and give feedback.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/forecast%20app;20.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/django-resturant-app;19.png
Job Application ;A Django job application user fill the form and it store it in data base and give feedback ;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/django;20.png
GUI calcultors;A speed and age calculator built using spqt6 GUI .;https://github.com/NOMAANSHAIK09/PYTHON-DEVELOPER/tree/2777329716889907816d22a4a80fc036d274a1de/GUI%20APP;12.png
